2024-02-01T12:46:23, STARTED 
2024-02-01T13:11:20, ENDED
2024-02-01T18:40:57, STARTED 
2024-02-01T18:41:01, ENDED 
2024-02-01T21:27:50, STARTED 
2024-02-01T21:57:52, ENDED 
2024-02-02T11:45:49, STARTED 
2024-02-02T22:00:09, ENDED 
2024-02-02T23:36:48, STARTED 
2024-02-03T06:08:39, ENDED 
2024-02-03T10:08:01, STARTED 
2024-02-03T10:35:36, ENDED 
2024-02-03T14:52:45, STARTED 
2024-02-03T15:16:46, ENDED 
2024-02-03T18:18:27, STARTED 
2024-02-03T18:59:04, ENDED 
2024-02-03T20:12:44, STARTED 
2024-02-03T20:30:39, ENDED 
2024-02-04T01:14:08, ENDED 
2024-02-04T01:51:38, STARTED 
2024-02-04T11:22:38, STARTED 
2024-02-04T11:56:05, ENDED 
2024-02-04T13:33:36, STARTED 
2024-02-04T14:00:51, ENDED 
2024-02-04T18:48:29, STARTED 
2024-02-04T19:34:04, ENDED 
2024-02-05T06:56:45, STARTED 
2024-02-05T11:21:17, ENDED 
2024-02-05T11:51:48, STARTED 
2024-02-05T15:26:52, ENDED 
2024-02-05T16:01:05, STARTED 
2024-02-06T06:11:53, ENDED 
2024-02-06T06:53:11, STARTED 
2024-02-06T08:50:06, ENDED 
